         4335 function calls in 2.059 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        6    0.000    0.000    0.000    0.000 socket.py:129(__init__)
        6    0.000    0.000    0.000    0.000 socket.py:208(makefile)
        6    0.000    0.000    0.000    0.000 socket.py:393(_decref_socketios)
        6    0.000    0.000    0.000    0.000 socket.py:399(_real_close)
       12    0.000    0.000    0.000    0.000 socket.py:403(close)
        6    0.000    0.000    0.000    0.000 socket.py:549(__init__)
        6    0.000    0.000    0.034    0.006 socket.py:561(readinto)
       12    0.000    0.000    0.000    0.000 socket.py:600(readable)
        6    0.000    0.000    0.000    0.000 socket.py:638(close)
        6    0.000    0.000    0.002    0.000 socket.py:677(create_connection)
        6    0.000    0.000    0.001    0.000 socket.py:715(getaddrinfo)
       12    0.000    0.000    0.000    0.000 socket.py:87(_intenum_converter)
        1    0.000    0.000    0.000    0.000 sre_compile.py:391(_generate_overlap_table)
        1    0.000    0.000    0.000    0.000 sre_compile.py:412(_compile_info)
        2    0.000    0.000    0.000    0.000 sre_compile.py:513(isstring)
        1    0.000    0.000    0.000    0.000 sre_compile.py:516(_code)
        1    0.000    0.000    0.000    0.000 sre_compile.py:531(compile)
        1    0.000    0.000    0.000    0.000 sre_compile.py:64(_compile)
        1    0.000    0.000    0.000    0.000 sre_parse.py:105(__init__)
        1    0.000    0.000    0.000    0.000 sre_parse.py:165(append)
        1    0.000    0.000    0.000    0.000 sre_parse.py:167(getwidth)
        1    0.000    0.000    0.000    0.000 sre_parse.py:217(__init__)
        2    0.000    0.000    0.000    0.000 sre_parse.py:226(__next)
        1    0.000    0.000    0.000    0.000 sre_parse.py:242(match)
        1    0.000    0.000    0.000    0.000 sre_parse.py:247(get)
        1    0.000    0.000    0.000    0.000 sre_parse.py:276(tell)
        1    0.000    0.000    0.000    0.000 sre_parse.py:429(_parse_sub)
        1    0.000    0.000    0.000    0.000 sre_parse.py:491(_parse)
        1    0.000    0.000    0.000    0.000 sre_parse.py:70(__init__)
        2    0.000    0.000    0.000    0.000 sre_parse.py:75(groups)
        1    0.000    0.000    0.000    0.000 sre_parse.py:797(fix_flags)
        1    0.000    0.000    0.000    0.000 sre_parse.py:819(parse)
        6    0.000    0.000    0.006    0.001 subprocess.py:1025(communicate)
        6    0.000    0.000    0.000    0.000 subprocess.py:1074(poll)
        6    0.000    0.000    0.000    0.000 subprocess.py:1367(_get_handles)
        6    0.001    0.000    0.005    0.001 subprocess.py:1418(_execute_child)
        6    0.000    0.000    0.000    0.000 subprocess.py:1545(_handle_exitstatus)
       12    0.000    0.000    0.000    0.000 subprocess.py:1560(_internal_poll)
        6    0.000    0.000    0.000    0.000 subprocess.py:1595(_try_wait)
       12    0.000    0.000    0.000    0.000 subprocess.py:1608(wait)
        6    0.000    0.000    0.000    0.000 subprocess.py:503(_cleanup)
        6    0.000    0.000    0.012    0.002 subprocess.py:585(check_output)
        6    0.000    0.000    0.000    0.000 subprocess.py:640(__init__)
        6    0.000    0.000    0.012    0.002 subprocess.py:662(run)
        6    0.000    0.000    0.005    0.001 subprocess.py:834(__init__)
        6    0.000    0.000    0.000    0.000 subprocess.py:979(__enter__)
        6    0.000    0.000    0.000    0.000 subprocess.py:982(__exit__)
        6    0.000    0.000    0.000    0.000 subprocess.py:994(__del__)
        2    0.000    0.000    0.000    0.000 tempfile.py:563(__init__)
        2    0.000    0.000    0.000    0.000 tempfile.py:578(close)
        2    0.000    0.000    0.000    0.000 tempfile.py:588(__del__)
        2    0.000    0.000    0.000    0.000 tempfile.py:606(__init__)
       42    0.000    0.000    0.000    0.000 utils.py:51(_has_surrogates)
       22    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0xa1b980}
        2    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
        6    0.002    0.000    0.002    0.000 {built-in method _posixsubprocess.fork_exec}
        6    0.000    0.000    0.000    0.000 {built-in method _socket.getaddrinfo}
        1    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        6    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        1    0.000    0.000    2.060    2.060 {built-in method builtins.exec}
       52    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
       90    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
      113    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
      169    0.000    0.000    0.000    0.000 {built-in method builtins.len}
       15    0.000    0.000    0.000    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
       14    0.000    0.000    0.000    0.000 {built-in method builtins.round}
        8    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
        2    0.000    0.000    0.000    0.000 {built-in method builtins.sum}
        6    0.000    0.000    0.000    0.000 {built-in method fromkeys}
       10    0.000    0.000    0.000    0.000 {built-in method io.open}
        6    0.000    0.000    0.000    0.000 {built-in method posix.WEXITSTATUS}
        6    0.000    0.000    0.000    0.000 {built-in method posix.WIFEXITED}
        6    0.000    0.000    0.000    0.000 {built-in method posix.WIFSIGNALED}
       18    0.000    0.000    0.000    0.000 {built-in method posix.close}
       12    0.000    0.000    0.000    0.000 {built-in method posix.pipe}
        6    0.002    0.000    0.002    0.000 {built-in method posix.read}
        3    0.000    0.000    0.000    0.000 {built-in method posix.statvfs}
        6    0.000    0.000    0.000    0.000 {built-in method posix.waitpid}
        1    0.000    0.000    0.000    0.000 {built-in method psutil_linux.disk_partitions}
        1    0.000    0.000    0.000    0.000 {built-in method psutil_linux.linux_sysinfo}
        2    2.001    1.001    2.001    1.001 {built-in method time.sleep}
        6    0.000    0.000    0.000    0.000 {function HTTPResponse.close at 0x7fec89dc3840}
        6    0.000    0.000    0.000    0.000 {function HTTPResponse.flush at 0x7fec89dc38c8}
        6    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
        6    0.000    0.000    0.000    0.000 {method '_checkReadable' of '_io._IOBase' objects}
